id,city,raion,address,lat,lon,workinghours,mintime,pAddress
139,თბილისი,საბურთალო,ბახტრიონის 14 18,41.72070118,44.76966145,09:00-18:00,15,
140,თბილისი,საბურთალო,ბახტრიონის13 39,41.72017665,44.76406636,09:00-18:00,15,
141,თბილისი,საბურთალო,ბახტრიონის 2 8,41.72120167,44.77382423,09:00-18:00,15,
142,თბილისი,საბურთალო,ცინცაძე57 103,41.72157204,44.75390615,09:00-18:00,15,
143,თბილისი,დიდუბე,წერეთლის126 128,41.74419629,44.77832498,09:00-18:00,15,
144,თბილისი,დიდუბე,წერეთლის117 119,41.7458453,44.77809431,09:00-18:00,15,
145,თბილისი,დიდუბე,წერეთლის73 103,41.73605664,44.78266479,09:00-18:00,15,
146,თბილისი,დიდუბე,წერეთლის118 124,41.74144847,44.77950783,09:00-18:00,15,
147,თბილისი,დიდუბე,წერეთლის116,41.73867057,44.78087308,09:00-18:00,15,
148,თბილისი,დიდუბე,წერეთლის106 110,41.73528205,44.78291156,09:00-18:00,15,
149,თბილისი,დიდუბე,წერეთლის60,41.73222963,44.7848347,09:00-18:00,15,
150,თბილისი,დიდუბე,წერეთლის67 71,41.73426926,44.78383692,09:00-18:00,15,
151,თბილისი,ვაგზალი,დინამოსთან,41.72364203,44.79098501,09:00-18:00,15,
152,თბილისი,ვაგზალი,ცაბაძეზე,41.72289933,44.79318978,09:00-18:00,15,
153,თბილისი,ვაგზალი,ცაბაძე,41.72305748,44.79413392,09:00-18:00,15,
154,თბილისი,ვაგზალი,თამარ მეფის 24 16,41.72030478,44.79590418,09:00-18:00,15,
155,თბილისი,ვაგზალი,თამარ მეფის 13 7,41.71896342,44.79301007,09:00-18:00,15,
156,თბილისი,ვაგზალი,ცაბაძის3 9,41.72176423,44.79045929,09:00-18:00,15,
157,თბილისი,ჩუღურეთი,აღმაშენებლის გამზირი 12 10,41.70349974,44.80310323,09:00-18:00,15,
158,თბილისი,ჩუღურეთი,აღმაშენებლის გამზირი 33 37,41.70427671,44.80227979,09:00-18:00,15,
159,თბილისი,ჩუღურეთი,აღმაშენებლის გამზირი 26 42,41.70495957,44.80087968,09:00-18:00,15,
160,თბილისი,ჩუღურეთი,აღმაშენებლის გამზირი50 64,41.70609096,44.79981216,09:00-18:00,15,
161,თბილისი,ჩუღურეთი,აღმაშენებლის გამზირი 61 57,41.70646542,44.79979338,09:00-18:00,15,
162,თბილისი,ჩუღურეთი,აღმაშენებლის გამზირი 69 81,41.70826758,44.79843887,09:00-18:00,15,
163,თბილისი,ჩუღურეთი,აღმაშენებლის გამზირი 96 110,41.71021788,44.79677053,09:00-18:00,15,
164,თბილისი,ჩუღურეთი,აღმაშენებლის გამზირი 103 115,41.71217211,44.79545625,09:00-18:00,15,
165,თბილისი,ჩუღურეთი,აღმაშენებლის გამზირი 142 148,41.71514139,44.79307713,09:00-18:00,15,
166,თბილისი,ჩუღურეთი,მ მარჯანიშვილი,41.70976936,44.79753496,09:00-18:00,15,
167,თბილისი,ჩუღურეთი,მარჯანიშვილის 25 29,41.70992353,44.79836645,09:00-18:00,15,
168,თბილისი,საბურთალო,ვაჟა ფშაველალ 22,41.72648468,44.75638719,09:00-18:00,15,
169,თბილისი,საბურთალო,ვაჟა ფშაველალ 10 12,41.72709123,44.76271452,09:00-18:00,15,
170,თბილისი,ვაკე,მელიქიშვილის 12,41.70784708,44.78320928,09:00-18:00,15,
